trace file for the simulation
format of the file
<event> <time> <item id> <server status> <queue size>

a	1.33673	1	0	0
s	1.33673	1	1	0
d	1.39407	1	0	0
a	1.66543	2	0	0
s	1.66543	2	1	0
d	1.68666	2	0	0
a	1.77266	3	0	0
s	1.77266	3	1	0
d	1.84609	3	0	0
a	1.98247	4	0	0
s	1.98247	4	1	0
d	1.99346	4	0	0
a	2.02147	5	0	0
s	2.02147	5	1	0
d	2.0507	5	0	0
a	2.37109	6	0	0
s	2.37109	6	1	0
d	2.3863	6	0	0
a	2.43946	7	0	0
s	2.43946	7	1	0
d	2.5061	7	0	0
a	2.67761	8	0	0
s	2.67761	8	1	0
d	3.09769	8	0	0
a	3.15611	9	0	0
s	3.15611	9	1	0
d	3.25705	9	0	0
a	3.53916	10	0	0
s	3.53916	10	1	0
a	3.54147	11	1	0
d	3.7188	10	1	1
s	3.7188	11	1	0
d	4.19084	11	0	0
a	6.18828	12	0	0
s	6.18828	12	1	0
a	6.21477	13	1	0
d	6.30803	12	1	1
s	6.30803	13	1	0
d	6.38523	13	0	0
a	7.02615	14	0	0
s	7.02615	14	1	0
a	7.0268	15	1	0
d	7.04316	14	1	1
s	7.04316	15	1	0
d	7.17551	15	0	0
a	7.99689	16	0	0
s	7.99689	16	1	0
a	8.07485	17	1	0
d	8.23481	16	1	1
s	8.23481	17	1	0
d	8.70824	17	0	0
a	9.08825	18	0	0
s	9.08825	18	1	0
d	9.1202	18	0	0
a	9.233	19	0	0
s	9.233	19	1	0
a	9.29222	20	1	0
d	9.3913	19	1	1
s	9.3913	20	1	0
d	9.4694	20	0	0
a	9.79619	21	0	0
s	9.79619	21	1	0
d	9.8458	21	0	0
a	9.90778	22	0	0
s	9.90778	22	1	0
d	10.0096	22	0	0
a	10.2851	23	0	0
s	10.2851	23	1	0
d	10.4343	23	0	0
a	10.4562	24	0	0
s	10.4562	24	1	0
d	10.4782	24	0	0
a	10.5881	25	0	0
s	10.5881	25	1	0
d	10.5891	25	0	0
a	10.6453	26	0	0
s	10.6453	26	1	0
d	10.7515	26	0	0
a	11.0009	27	0	0
s	11.0009	27	1	0
d	11.0428	27	0	0
a	11.1428	28	0	0
s	11.1428	28	1	0
a	11.2142	29	1	0
d	11.4184	28	1	1
s	11.4184	29	1	0
d	11.4283	29	0	0
a	12.0056	30	0	0
s	12.0056	30	1	0
a	12.0318	31	1	0
a	12.0711	32	1	1
d	12.1932	30	1	2
s	12.1932	31	1	1
d	12.2134	31	1	1
s	12.2134	32	1	0
d	12.2878	32	0	0
a	12.6472	33	0	0
s	12.6472	33	1	0
d	12.7374	33	0	0
a	12.9021	34	0	0
s	12.9021	34	1	0
d	12.9585	34	0	0
a	12.9786	35	0	0
s	12.9786	35	1	0
d	13.0066	35	0	0
a	13.0437	36	0	0
s	13.0437	36	1	0
d	13.1181	36	0	0
a	13.4628	37	0	0
s	13.4628	37	1	0
a	13.499	38	1	0
d	13.5628	37	1	1
s	13.5628	38	1	0
d	13.6288	38	0	0
a	14.3663	39	0	0
s	14.3663	39	1	0
d	14.4261	39	0	0
a	14.5785	40	0	0
s	14.5785	40	1	0
a	14.6118	41	1	0
d	14.6766	40	1	1
s	14.6766	41	1	0
d	14.7551	41	0	0
a	15.0873	42	0	0
s	15.0873	42	1	0
d	15.144	42	0	0
a	15.4133	43	0	0
s	15.4133	43	1	0
d	15.4405	43	0	0
a	15.4483	44	0	0
s	15.4483	44	1	0
d	15.5405	44	0	0
a	15.5866	45	0	0
s	15.5866	45	1	0
d	15.5982	45	0	0
a	16.3055	46	0	0
s	16.3055	46	1	0
d	16.3061	46	0	0
a	16.417	47	0	0
s	16.417	47	1	0
a	16.5435	48	1	0
d	16.7156	47	1	1
s	16.7156	48	1	0
d	16.7327	48	0	0
a	17.4082	49	0	0
s	17.4082	49	1	0
d	17.4379	49	0	0
a	17.6399	50	0	0
s	17.6399	50	1	0
d	17.6459	50	0	0
a	17.8902	51	0	0
s	17.8902	51	1	0
d	17.9991	51	0	0
a	18.283	52	0	0
s	18.283	52	1	0
d	18.3141	52	0	0
a	18.3192	53	0	0
s	18.3192	53	1	0
d	18.3537	53	0	0
a	18.4213	54	0	0
s	18.4213	54	1	0
d	18.4504	54	0	0
a	18.6964	55	0	0
s	18.6964	55	1	0
d	18.8898	55	0	0
a	19.9818	56	0	0
s	19.9818	56	1	0
a	20.0248	57	1	0
d	20.2614	56	1	1
s	20.2614	57	1	0
d	20.3206	57	0	0
a	21.0553	58	0	0
s	21.0553	58	1	0
a	21.221	59	1	0
d	21.3158	58	1	1
s	21.3158	59	1	0
d	21.352	59	0	0
a	21.9423	60	0	0
s	21.9423	60	1	0
a	22.0793	61	1	0
d	22.1255	60	1	1
s	22.1255	61	1	0
d	22.2979	61	0	0
a	24.1485	62	0	0
s	24.1485	62	1	0
d	24.2723	62	0	0
a	24.4448	63	0	0
s	24.4448	63	1	0
d	24.4711	63	0	0
a	24.6228	64	0	0
s	24.6228	64	1	0
a	24.7158	65	1	0
d	24.7827	64	1	1
s	24.7827	65	1	0
d	24.8622	65	0	0
a	24.9884	66	0	0
s	24.9884	66	1	0
d	25.0212	66	0	0
a	25.1024	67	0	0
s	25.1024	67	1	0
d	25.2004	67	0	0
a	25.4406	68	0	0
s	25.4406	68	1	0
d	25.471	68	0	0
a	25.5583	69	0	0
s	25.5583	69	1	0
d	25.5683	69	0	0
a	25.8414	70	0	0
s	25.8414	70	1	0
a	25.942	71	1	0
d	26.008	70	1	1
s	26.008	71	1	0
d	26.0617	71	0	0
a	26.3129	72	0	0
s	26.3129	72	1	0
d	26.3606	72	0	0
a	26.3868	73	0	0
